"","JPM","ETN","NVDA","NEE","V","AMZN","MSFT","PGR","XOM","WELL","PG","WMT"
"2016-02-04",44.6572113037109,43.372428894043,0.68811446428299,21.9714336395264,68.6942443847656,26.8129997253418,45.5317535400391,23.2506465911865,51.514705657959,43.4898414611816,61.3953475952148,18.4528961181641
"2016-02-05",44.1601753234863,43.6117973327637,0.644695699214935,21.9888591766357,66.6990737915039,25.1065006256104,43.9206161499023,23.2809772491455,51.6760368347168,43.6905670166016,61.775749206543,18.6140327453613
"2016-02-08",43.2349166870117,43.970832824707,0.615180790424347,22.0972461700439,63.184196472168,24.4050006866455,43.2639274597168,23.3037281036377,52.3729629516602,41.9324378967285,62.8560638427734,18.586254119873
"2016-02-09",42.9749183654785,43.4681739807129,0.621766924858093,22.3256282806396,63.7062797546387,24.1035003662109,43.150089263916,23.41748046875,52.1450576782227,38.5822715759277,62.8712577819824,18.28342628479
"2016-02-10",42.4549446105957,42.8458404541016,0.620303332805634,22.0140151977539,65.4031448364258,24.5240001678467,43.5266036987305,23.4402294158936,51.6697196960449,38.5615043640137,62.0952911376953,18.2778720855713
"2016-02-11",40.5814895629883,42.3671073913574,0.617132306098938,21.6578922271729,63.8368110656738,25.1909999847412,43.5090866088867,22.9245624542236,51.8325042724609,37.1563758850098,60.7867317199707,18.1472969055176
"2016-02-12",43.9613571166992,43.2447624206543,0.627620935440063,21.6133766174316,65.6548767089844,25.3540000915527,44.218334197998,23.7966499328613,52.7636642456055,37.6547241210938,61.6159744262695,18.3862266540527
"2016-02-16",44.6189804077148,43.7394409179688,0.658355593681335,21.7449913024902,66.2888565063477,26.0550003051758,45.0561408996582,24.0013980865479,52.8873748779297,38.7345352172852,61.9811668395996,18.3084392547607
"2016-02-17",44.9401435852051,44.6889152526855,0.674698710441589,21.5669269561768,67.2884063720703,26.7049999237061,46.229061126709,24.3123207092285,53.3952865600586,39.129093170166,62.7267265319824,18.3667755126953
"2016-02-18",44.2060508728027,44.8405151367188,0.732752799987793,22.1282157897949,66.5503997802734,26.25,46.0262222290039,24.2289047241211,53.6883125305176,40.6172866821289,62.3691749572754,17.8139095306396
"2016-02-19",44.2137107849121,44.6889152526855,0.74251002073288,22.2095031738281,66.8213348388672,26.7450008392334,45.6999282836914,24.1985645294189,53.7208786010742,40.9772109985352,62.2246131896973,17.9639320373535
"2016-02-22",44.787223815918,46.0213623046875,0.768854022026062,22.393367767334,68.2506103515625,27.9750003814697,46.4318962097168,24.2895679473877,53.6492500305176,41.7593841552734,62.4833030700684,18.2334175109863
"2016-02-23",42.9137496948242,45.1197738647461,0.770805537700653,22.4746570587158,67.4005126953125,27.6469993591309,45.1355018615723,24.2137336730957,52.8938903808594,41.9947166442871,62.2398376464844,18.4695682525635
"2016-02-24",42.9290466308594,45.3192520141602,0.776171863079071,22.6209144592285,67.1202850341797,27.7019996643066,45.2942428588867,24.1530685424805,53.0827255249023,42.5969314575195,62.0496368408203,18.6473751068115
"2016-02-25",43.5943145751953,45.7022132873535,0.777879357337952,22.5897159576416,68.4468002319336,27.7574996948242,45.9468421936035,24.39573097229,53.4018020629883,43.3790817260742,62.6430397033691,18.9029693603516
"2016-02-26",43.9995956420898,45.6942329406738,0.772756934165955,21.9422874450684,67.9423522949219,27.7614994049072,45.2413291931152,24.3502426147461,53.2325057983398,43.9536018371582,61.6996841430664,18.4779033660889
"2016-02-29",43.0513916015625,45.247428894043,0.767738223075867,22.0007915496826,67.6247253417969,27.6259994506836,44.8709373474121,24.2061538696289,52.1906394958496,44.1474151611328,61.0834541320801,18.4306697845459
"2016-03-01",45.2689590454102,46.3245697021484,0.801767468452454,21.9578838348389,69.7266006469727,28.9519996643066,46.3701591491699,24.6990718841553,52.9264488220215,45.6702156066895,61.7985649108887,18.4640140533447
